Title, Board Game Rank, Avg Rating, Num Voters
Pandemic Legacy: Season 1(2015),1,8.65,9295
Twilight Struggle(2005),2,8.35,23105
Through the Ages: A New Story of Civilization(2015),3,8.98,2866
Terra Mystica(2012),4,8.29,18501
Caverna: The Cave Farmers(2013),5,8.23,12771
Puerto Rico(2002),6,8.12,43321
Through the Ages: A Story of Civilization(2006),7,8.16,14394
Agricola(2007),8,8.09,43441
The Castles of Burgundy(2011),9,8.11,19718
Mage Knight Board Game(2011),10,8.15,15161
7 Wonders: Duel(2015),11,8.21,8665
Star Wars: Imperial Assault(2014),12,8.29,7609
War of the Ring (second edition)(2012),13,8.35,4916
Android: Netrunner(2012),14,8.09,17713
Eclipse(2011),15,8.05,17813
Power Grid(2004),16,7.97,37836
Codenames(2015),17,8.02,15144
Robinson Crusoe: Adventures on the Cursed Island(2012),18,8.05,13805
Blood Rage(2015),19,8.24,5867
Brass(2007),20,8.03,9740
Le Havre(2008),21,7.96,17296
Star Wars: Rebellion(2016),22,8.77,2336
Tzolk'in: The Mayan Calendar(2012),23,7.97,14716
Dead of Winter: A Crossroads Game(2014),24,7.97,15819
Keyflower(2012),25,7.98,9095
7 Wonders(2010),26,7.85,43262
Caylus(2005),27,7.88,20412
T.I.M.E Stories(2015),28,8.20,4405
Eldritch Horror(2013),29,7.94,11764
Dominant Species(2010),30,7.88,11508
Dominion: Intrigue(2009),31,7.82,21047
Roll for the Galaxy(2014),32,7.91,9194
El Grande(1995),33,7.82,17040
Race for the Galaxy(2007),34,7.79,31213
Twilight Imperium (Third Edition)(2005),35,7.90,13347
Star Wars: X-Wing Miniatures Game(2012),36,7.91,13886
The Voyages of Marco Polo(2015),37,8.03,5572
Lords of Waterdeep(2012),38,7.80,23976
Patchwork(2014),39,7.89,9603
Five Tribes(2014),40,7.85,12054
Battlestar Galactica(2008),41,7.80,22841
Concordia(2013),42,7.91,6909
Dominion(2008),43,7.74,49280
Orléans(2014),44,8.03,4518
Tigris & Euphrates(1997),45,7.75,18871
Castles of Mad King Ludwig(2014),46,7.82,8984
The Resistance: Avalon(2012),47,7.78,12483
Trajan(2011),48,7.83,8171
War of the Ring (first edition)(2004),49,7.84,8585
Russian Railroads(2013),50,7.84,7032
Pandemic(2008),51,7.67,51649
Crokinole(1876),52,7.81,6880
Descent: Journeys in the Dark (Second Edition)(2012),53,7.80,11652
A Game of Thrones: The Board Game (Second Edition)(2011),54,7.77,14397
Sherlock Holmes Consulting Detective(1981),55,7.85,6364
Troyes(2010),56,7.74,9779
Alchemists(2014),57,7.83,6952
Nations(2013),58,7.81,6831
Fields of Arle(2014),59,8.31,2180
Legendary Encounters: An Alien Deck Building Game(2014),60,7.95,4537
Ora et Labora(2011),61,7.80,6715
Stone Age(2008),62,7.64,26570
Commands & Colors: Ancients(2006),63,7.82,6408
Suburbia(2012),64,7.69,12208
Star Realms(2014),65,7.69,13455
Paths of Glory(1999),66,8.02,3305
Kemet(2012),67,7.78,7065
Mage Wars Arena(2012),68,7.92,5323
Food Chain Magnate(2015),69,8.36,1975
Combat Commander: Europe(2006),70,7.94,4035
Railways of the World(2005),71,7.71,8936
Arcadia Quest(2014),72,8.10,3142
Steam(2009),73,7.71,7406
Chaos in the Old World(2009),74,7.68,9999
Goa(2004),75,7.67,9114
Viticulture(2013),76,7.86,4675
Ticket to Ride: Europe(2005),77,7.60,29973
Cosmic Encounter(2008),78,7.61,15913
Age of Steam(2002),79,7.72,6395
The Princes of Florence(2000),80,7.62,12584
Splendor(2014),81,7.58,20857
The Lord of the Rings: The Card Game(2011),82,7.65,12801
Go(-2200),83,7.70,10495
Hansa Teutonica(2009),84,7.65,7444
Summoner Wars: Master Set(2011),85,7.68,7775
Tichu(1991),86,7.62,9726
Village(2011),87,7.59,11533
Imperial Settlers(2014),88,7.65,8744
La Granja(2014),89,7.90,3345
Hannibal: Rome vs. Carthage(1996),90,7.83,4118
Lewis & Clark(2013),91,7.65,7232
Ticket to Ride: Nordic Countries(2007),92,7.67,6932
Istanbul(2014),93,7.62,8351
Mombasa(2015),94,8.09,2341
Jaipur(2009),95,7.54,13909
Shogun(2006),96,7.60,9699
Runewars(2010),97,7.73,5890
Age of Empires III: The Age of Discovery(2007),98,7.61,8447
Ticket to Ride(2004),99,7.50,41843
Space Alert(2008),100,7.56,10776
